:TYPE,:START_ID,:END_ID,kegg_species_id:string,interaction_type:string,kegg:string,kegg_int_type:string
KEGG_DECREASES_EXPRESSION,33694,14015,hsa,repression;indirect effect,#2416:1484,GErel
KEGG_DECREASES_EXPRESSION,33561,18051,hsa,repression,#2426:1448,GErel
KEGG_DECREASES_EXPRESSION,30628,18094,hsa,repression,#2440:1446,GErel
KEGG_DECREASES_EXPRESSION,37388,13974,mmu,repression;indirect effect,#2418:5581,GErel
KEGG_DECREASES_EXPRESSION,34703,13974,mmu,repression;indirect effect,#2426:5580,GErel
KEGG_DECREASES_EXPRESSION,36280,2797,mmu,repression,#2436:7717,GErel
KEGG_DECREASES_EXPRESSION,40586,3143,rno,repression,#2420:11815,GErel
KEGG_DECREASES_EXPRESSION,35139,20324,rno,repression;indirect effect,#2430:11452,GErel
KEGG_DECREASES_EXPRESSION,16783,20375,rno,repression,#2438:9756,GErel
KEGG_DECREASES_EXPRESSION,39655,2952,hsa,repression,#2416:1485,GErel
KEGG_DECREASES_EXPRESSION,44437,3025,hsa,repression,#2426:3098,GErel
KEGG_DECREASES_EXPRESSION,42820,18113,hsa,repression,#2440:1857,GErel
KEGG_DECREASES_EXPRESSION,25160,13815,mmu,repression,#2418:7153,GErel
KEGG_DECREASES_EXPRESSION,35109,23498,mmu,repression,#2426:5581,GErel
KEGG_DECREASES_EXPRESSION,7715,2819,mmu,repression,#2437:5545,GErel
KEGG_DECREASES_EXPRESSION,25576,10042,rno,repression,#2421:9720,GErel
KEGG_DECREASES_EXPRESSION,21118,10236,rno,repression,#2430:11559,GErel
KEGG_DECREASES_EXPRESSION,43460,2934,rno,repression,#2439:9503,GErel
